well_id,easting,northing,depth_tvd_m,porosity_pct,gamma_ray_api,bulk_density_gcc,formation_top_tvd,formation_base_tvd,formation_thickness_m,distance_to_usp_km,flag,flag_reason
JUT-01,134098.0,451726.0,1702.6146917647059,,49.0929,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1703.1078364705882,,46.9561,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1703.6009811764704,,44.7328,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1704.094125882353,,44.4521,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1704.5872705882352,,46.0577,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1705.0804152941175,,48.3983,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1705.57356,,48.7499,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1706.0667047058823,,48.6768,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1706.5598494117646,,48.1313,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1707.052994117647,,47.5862,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
